Day,Streamflow (m^3/s),Stdev
205,1373.3467087111114,292.0922736785914
206,1375.4287800888885,287.83047956129275
207,1375.040997244445,291.35659286407736
208,1367.4166988444445,283.2205249119597
209,1379.9059808,310.35984397371783
210,1305.7859702222217,281.89398866359693
211,1294.657467822222,271.87169210585455
212,1257.0142151111108,259.99835217068915
213,1249.621957155555,246.87530078699436
214,1228.2765960000002,264.12351991226393
215,1207.488131911111,238.00693499072298
216,1197.7070372444443,285.53181582374873
217,1196.0796078222222,287.12910980049173
218,1192.4802279111111,283.19768827638046
219,1167.7163997333332,265.66830574624527
220,1147.1277264,256.3622378187497
221,1155.152392888889,366.36372570929865
222,1123.916602755556,264.31137293005037
223,1074.470750488889,246.04688511721127
224,1047.4502306666668,238.05556049736754
225,1033.0755217777773,233.61453513052138
226,1024.4538427555553,222.61821405419624
227,990.7159487111112,231.11530805463735
228,963.7284651555559,209.31013514209533
229,942.9439339555556,219.40820012361914
230,944.0372770666667,244.96733862726833
231,906.0746737777777,210.30902495406454
232,904.1916065777779,242.4883322544214
233,868.2253376888889,226.011102181912
234,853.9686154666667,223.00796147997744
235,798.6973681777775,177.63059187179485
236,790.955083111111,256.8623474123084
237,775.3053316444445,205.42778111540943
238,786.4629374222221,174.02569278609295
239,813.5188532444445,201.41634485183343
240,813.0115105777779,184.40185577431745
241,830.1683450666666,242.23775350203525
242,789.3221476444444,248.15018615968268
243,793.9071095111111,244.00783658030363
244,769.1668786666667,193.76860299738618
245,733.6591846222221,166.53039975136457
246,701.6903040000002,210.61817346214545
247,668.1789443555555,184.02523297518084
248,669.8787389333334,203.0067943975373
249,632.3094245333335,194.56148188615117
250,612.8062285333333,206.6517306594044
251,617.6240174222223,260.533368200674
252,595.2167762666667,184.43162663833817
253,567.0958341333333,158.8662501346103
254,560.5294828444444,169.0982796465017
255,543.4151235555556,163.88653168194983
256,511.01441173333336,132.69023940762503
257,526.9268801777777,150.8082560106513
258,513.9585723555554,147.71057551885744
259,495.6352430222222,162.72786124974698
260,497.49156657777775,182.7719671520321
261,494.8077632000001,185.0969278096188
262,494.08489822222225,291.95648257619337
263,465.87113991111113,237.78360153173915
264,431.81704160000004,147.27980192753046
265,433.22344266666664,142.9190857368089
266,439.6159602666667,180.75661966871914
267,451.0134722666666,193.0788148586814
268,450.2457723555556,175.4889521075152
269,426.73653573333326,145.0308146890254
270,438.24338204444445,290.8121297643715
271,414.13791946666674,172.26763378622115
272,406.6017177777777,175.14841932793382
273,412.47509404444463,226.2878572204445
274,382.5599680000001,243.6306929469592
275,354.5743172444444,176.17117113565118
276,362.46211919999996,179.50136710586054
277,348.6938617777778,145.24451477463222
278,328.1932851555556,128.210179960821
279,321.3099430222222,117.47113541124884
280,306.51677475555556,92.98320425348884
281,298.5259311111111,92.23656666198363
282,317.81753768888893,133.72630696788013
283,319.2168595555555,140.15144858706972
284,287.3675387555556,108.06344647747306
285,277.2387767111111,91.98019770978449
286,276.11790337777774,93.39618593619994
287,296.31800728888896,140.32578407535888
288,337.9956174222222,194.90029704026347
289,336.16997039999995,215.59291411741518
290,298.17197111111113,145.32261921936922
291,287.68216986666664,118.33400038289035
292,285.64493342222215,126.49539404990043
293,289.8090761777777,148.3121167045893
294,295.2199447111111,176.78357619617168
295,298.9797864888889,258.3612595598288
296,285.9564182222222,152.93163083087035
297,300.45461982222224,169.0793077701202
298,288.5096496888889,123.02814353726045
299,265.6131571555555,125.54784516036509
300,257.4067912,126.24640223877368
301,236.78586817777776,82.63343782300753
302,241.0388942222222,78.44983691628377
303,233.83226862222222,79.84476770050568
