x,y
803124.1272245181,5838170.062627082
803165.1066173746,5838086.092896871
803239.438937363,5838004.372740341
803315.8354106244,5837889.706232576
803354.9714495976,5837798.069658557
803352.2629753968,5837690.868821099
803311.9698630192,5837647.815078599
803044.436766917,5837582.312088288
802850.4921055478,5837483.782072967
802766.5274424158,5837414.998577814
802657.5411871839,5837290.885356968
802554.6736471886,5837109.039820203
802451.3823922045,5837005.982623665
802330.4165004189,5836883.38499355
802177.1405336037,5836782.2303243475
802062.5453330828,5836673.226142117
801958.580422744,5836506.357928877
801925.3542792498,5836390.039837562
801989.1919567639,5836360.742858829
802063.4930388144,5836355.35712943
802112.7767324141,5836366.040552548
802225.5402103444,5836393.480013514
802323.2162187983,5836394.583675528
802424.047697995,5836344.766202841
802503.8562749211,5836253.501590803
802584.6541845126,5836181.871179201
802661.9384588442,5836090.277676146
802755.6251447187,5835966.494385466
802806.901014421,5835720.165826994
802844.0487479371,5835623.30394599
802992.1004026715,5835431.775302216
803023.8784502001,5835230.01217316
803144.3106764151,5834907.054020154
803243.5393482577,5834544.279316843
803255.2301200602,5834359.434145387
803239.6686464912,5834302.384554406
803225.4795504839,5834151.074771501
803292.6308673194,5834068.785418547
803293.9891335772,5833934.296524442
803223.977817531,5833723.548527924
803208.4017114519,5833554.994581638
803236.9519040479,5833365.486522674
803304.8697605018,5833235.063102182
803399.3998418304,5833096.308870322
803565.8638171772,5832989.624018059
803739.9598588502,5832913.781491121
803904.3000439331,5832875.715120661
803991.7077311064,5832891.563369264
804049.0623320979,5832925.94802209
804089.0748513833,5832974.010994386
804224.1439467588,5833023.537277516
804376.2698579858,5833030.099849528
804631.9617089278,5833023.32861148
804822.4625417498,5832989.444138528
804888.8624085889,5832969.903363011
805019.132239213,5832944.611418986
805193.038581375,5832912.878482315
805328.2415430311,5832922.668684551
805476.0207893251,5832856.14181068
805564.278557662,5832788.681830946
805794.0991772366,5832809.886060948
805988.8693246542,5832787.435582395
806200.5318244596,5832763.882002608
806496.5123742113,5832797.101956744
806712.1592884401,5832883.947715293
806816.5266572182,5833031.250645812
806912.5005121389,5833195.969697712
807008.1299823057,5833401.309008703
807060.4581680843,5833438.347132286
807188.8071403138,5833477.668609764
807444.5502984229,5833506.127003449
807545.0057636864,5833536.093325534
807615.5009188054,5833586.716658403
807754.6970771139,5833746.949956637
807854.2163653112,5833858.230273519
808009.5580810908,5833889.267140052
808227.8706421241,5833871.29961297
808527.4918686334,5833816.093437047
808686.3047640375,5833763.520009359
809031.6756664097,5833769.7486894345
809180.9353843476,5833785.179850236
809244.3713172334,5833763.829257616
809453.6641194889,5833737.628387396
809543.7853815486,5833746.612736695
809596.3536226071,5833709.300588735
809698.9917758484,5833538.0786785185
809772.2051230599,5833237.310146292
809780.4004977159,5833015.99611588
809881.4916281505,5832727.0808343245
810074.3902713833,5832388.60183976
810122.8867709236,5832238.95269647
810127.4117396991,5832071.083496422
810048.9464770126,5831927.908305459
809989.5644135159,5831821.955557133
809972.1472853915,5831728.561687553
810114.0503401385,5831608.368705519
810348.4056926676,5831532.978844829
810581.5898046371,5831510.740362866
810610.08404784,5831508.074630193
810726.5180456245,5831513.298590123
811057.1611035027,5831666.527058593
811154.5972524717,5831670.633725001
811325.8148712154,5831609.08583509
811446.3901179275,5831591.516007922
811624.0739980203,5831642.514446117
811708.4401333836,5831666.113886269
811875.5618916205,5831662.5294237705
812047.7537098043,5831725.572156186
812197.0183792774,5831741.062356467
812250.6013175322,5831655.5998015795
812296.9711108335,5831503.2897284385
812403.5941726668,5831411.165953171
812480.8218543088,5831329.74335255
812548.3935541454,5831214.314343117
812570.7547999482,5831029.80318394
812619.4939631703,5830979.658674175
812754.606246161,5830958.774068671
812904.4604413261,5830930.693685783
812999.6692306357,5830761.843483674
813068.8412024878,5830554.632732809
813171.3692411119,5830452.187914092
813252.3880005277,5830419.767000074
813465.8351081035,5830368.20041154
813524.5917625144,5830337.489497804
813592.6561035377,5830275.9520502845
813655.9313462903,5830248.1072908575
813717.8492635825,5830223.632185036
813772.6753560548,5830209.084072218
813858.6869445262,5830193.127851961
813925.1512911391,5830192.071752582
813991.0954068996,5830190.600766515
814342.6748186337,5830141.069213361
814482.9164069542,5830148.262283761
814733.2755152242,5830219.425780658
814938.6424846099,5830320.394606709
815061.4643020936,5830336.648523278
815425.5295528233,5830282.766146775
815505.0685406688,5830270.837182544
815518.224408392,5830184.990901177
815409.9219143713,5829817.874932282
815433.7324197501,5829543.955363112
815537.4706321658,5829252.715912243
815574.0385539322,5829068.8964889
815676.0407090187,5828974.466309886
815944.4697928942,5828783.823802897
816086.2785008479,5828633.070464551
816306.0293196345,5828456.96014525
816395.699081145,5828333.32209066
816407.9315905236,5828280.626327169
816521.2163824869,5828208.698342418
816620.3780644299,5828121.011109152
816699.1437358379,5828085.87232258
816967.2017952178,5828040.436208689
817086.4585239238,5828041.284768836
817262.8485770549,5827974.628056852
817382.8360855296,5827929.461929132
817548.6239010126,5827912.619308701
817634.1045767058,5827918.737109622
817770.8806745913,5827941.195611447
817872.7816784747,5827983.840701777
817943.1414408268,5828036.906978391
818136.326067042,5828382.123435379
818171.2887234213,5828463.458475091
818287.0086266946,5828617.341334294
818348.0205494523,5828700.30072314
818390.3170524489,5828777.195714345
818414.6732354071,5828839.995743848
818438.1942244576,5828946.440850381
818609.2677183246,5829128.985388933
818737.1714162647,5829211.993517559
818941.7623031139,5829391.904429438
819098.1955165003,5829509.980464748
819274.5104426595,5829580.902665624
819332.7872309773,5829635.990888953
819483.6637141897,5829832.903731932
819555.6481369213,5829863.034139957
819611.4510411405,5829884.803893168
819674.5305965241,5829937.810625642
819738.9586534582,5830010.002225837
819746.0477364351,5830000.012193354
819818.9200076765,5829981.996705092
820072.5471860641,5830004.66056632
820203.58297252,5829970.88873292
820326.0931778303,5829925.926444836
820518.381503806,5829801.353594988
820717.2792824697,5829618.9524824675
820916.429839465,5829359.816248425
820957.850234272,5829212.078420744
820911.9354244602,5829081.66941929
820917.3877334446,5828727.493730208
820952.6154586511,5828632.8169873655
821043.6846386965,5828455.5684913695
821172.6762914491,5828349.906799515
821294.1386855096,5828215.82968667
821313.0299281098,5828114.98510063
821371.2970655608,5827825.814984978
821479.0572906982,5827682.706744146
821576.1001194867,5827694.822015697
821707.263129871,5827729.3305039285
821883.8307947922,5827729.138568405
821993.7383912569,5827657.413067154
822037.671174426,5827541.052953525
822059.5552854425,5827397.1545022065
822083.0511964384,5827275.553945235
822185.9470121601,5827053.554552728
822324.7332684192,5826905.416987493
822501.1021417117,5826838.191106745
822657.7151462638,5826710.088200762
822853.0408804365,5826535.013880896
823119.384316987,5826265.83586568
823372.875809147,5826043.822027214
823504.6477243869,5826035.253254777
823553.5297470078,5826050.885289587
823661.0642631452,5826152.767803533
823744.707859283,5826219.5064789895
823893.048399679,5826245.086049812
824059.7839728243,5826243.878572697
824427.3106527524,5826202.690301514
824687.1549492737,5826167.092535382
824901.1752982357,5826105.5457037985
825084.8295959951,5826069.6787767
825271.8718541771,5826087.774338715
825462.0576512977,5826128.727276842
825669.4258610025,5826231.919285768
825734.9774166634,5826215.777382526
825819.1497594396,5826135.348946541
826005.2497618761,5825890.62284786
826039.3541887596,5825773.431649482
826020.0742724184,5825604.063498858
826045.8087559916,5825473.550226819
826080.4589407019,5825348.8371235775
826168.1330619442,5825217.020363392
826288.6948036342,5825059.788118527
826375.4551060311,5824941.381442799
826350.5020818308,5824819.744344745
826099.7979415966,5824374.898054644
826059.7024401034,5824265.600021539
826068.5685426615,5824031.718584249
826057.0631773048,5823990.040219137
825995.8613093662,5824016.555180469
825860.4294928274,5824078.645972152
825648.8019082433,5824140.344807441
825523.2805730508,5824162.580136591
825407.0809771172,5824154.35827386
825329.2961211053,5824072.5581606915
825273.7928286234,5823873.015038652
825223.0996222608,5823396.091497103
825128.7581077623,5823277.580620511
824988.7347494711,5823201.659051811
824775.6576179645,5823179.382662467
824719.2432722879,5823132.461280091
824585.5536918208,5822998.219926974
