DOY,Tmin (K),Tmin std (K),Tmax (K),Tmax std (K),Tavg (K),Tavg std (K),Precip (m),Precip std (m)
155,274.23324225048475,2.147787190656228,284.4768558286624,3.2475754198899955,279.7303696241074,2.3750360721057464,0.002700741812941994,0.002707169755677869
156,275.4652396537162,2.119051855426633,284.9741165198624,3.3293375149780062,280.4267173223472,2.4914381979418296,0.0031921006344986305,0.002407915669552271
157,274.8255250822999,2.5800415156456444,284.9589654795954,3.785742640232211,280.1756138157201,3.0352643473506196,0.004266174839341167,0.0046133429395584175
158,274.94766932681966,3.1505521965195675,284.64495189769855,4.645798409989602,280.1040940343309,3.750544190264045,0.0051121455072053335,0.00712087353862699
159,275.5888842833423,3.362065104319925,284.60861573465337,5.082280894271071,280.38854560570866,4.052295689835386,0.00416267304085976,0.0037629616518631754
160,275.5197393243964,2.6041513254023547,284.8390778112762,4.053741340428441,280.44927933526577,3.0428031169299725,0.003848606206441055,0.0038259413450864293
161,275.5020101861227,2.5431497395999276,284.44588033690206,3.746538410391699,280.3300012686914,3.0025402971264836,0.004501492671352887,0.004224712629194539
162,275.3410908467061,2.758091881748864,284.9061406765874,3.592481322512437,280.2890801956965,2.896112957680031,0.0036928500863450376,0.0034240495406225695
163,275.44715187766326,2.4416244807545016,284.55284302357666,3.576087222969678,280.2786713771211,2.735722758753872,0.004039550586561286,0.004424775813917869
164,275.9321810185762,2.613816269974846,285.6421947432385,3.70975913141911,281.03859761306063,2.933241222161815,0.0033158693005753,0.0031297014612751773
165,276.29154244687686,2.3281135218218423,285.60578119901237,3.504553462798226,281.18720599650163,2.684064431890702,0.0038694378521115557,0.0029193506494829234
166,276.19784815832793,2.6951475826877047,285.2022234192645,3.9306135735231766,280.8044480082444,2.8933279864847714,0.005125271438350224,0.0038434347491230723
167,275.89538776669514,2.2928942263980194,284.788558022689,3.5977275213927085,280.6222625657441,2.794822766941398,0.0043479789433456765,0.0037524135800767566
168,276.1240019927153,2.2841098363659755,285.64047923545,3.1277331071461605,281.103634696042,2.4719448369349717,0.00377653372990521,0.002597713578129014
169,276.7622481962387,2.3483865757011113,286.04911290574137,3.565034909909774,281.64588437092107,2.7563344717252716,0.004792898372190499,0.005342955199385879
170,276.6171059198403,2.4695618916086914,285.8403890923728,3.531696788192563,281.31275006418446,2.9730158219093363,0.004966364436971437,0.003600175730520937
171,276.6538139174553,2.4987088157403305,285.578715781322,3.6951337532995265,281.44455368454385,2.9164187468496703,0.004560461666091075,0.005228523259726918
172,276.99427386759544,2.5543541781680217,286.4408215422009,3.844148226570425,282.0597769622427,3.055982552885073,0.0030034199340935415,0.0027547656922971464
173,277.37206108974294,2.091754754471152,287.54047800574904,3.9911440506686486,282.79973023060796,2.977616039593661,0.0035937903012336,0.003676795803392132
174,277.5490737652603,2.802367072604691,287.1809067784716,4.443639551423769,282.62974327143644,3.5923093667150434,0.003873166159813758,0.0026473948888091994
175,277.28725963845596,3.0454169942846376,287.20506740260765,4.004613681985068,282.5733180690456,3.4091740747953554,0.0038358791544303317,0.003117647865488729
176,277.326551282728,2.41328264714263,287.03341427364865,3.490923180726515,282.5941136615575,2.9981891583777562,0.004094200134761805,0.003931816796318077
177,278.11775488701153,2.4917407346341154,288.380435053195,4.0406273275718405,283.6659696611784,3.3543730401680305,0.002620614847434737,0.0023725380960841324
178,278.6722793766556,2.9401562065936058,288.8828591386575,4.113609209221038,284.0588660837684,3.2963447611019303,0.0032497634779006493,0.0031963934894932732
179,278.68073132114256,2.7347161164576983,288.4480509090189,3.859526890569813,283.9816393653063,3.1419766149399866,0.003607512369728637,0.0032306754509453064
180,279.2561823964412,2.5501882332612817,288.977219790147,3.634035414615003,284.46624103518036,2.771351564355082,0.003923643157756293,0.0037092583121520212
181,279.27137842576684,2.321380894047845,288.74024892146224,3.560433520473224,284.1676191100325,2.815681658740499,0.004935650457769003,0.004522002253451352
182,278.3937677106927,3.191528295114248,288.4218833979577,4.609461242601143,283.8027681917757,3.804776249640137,0.0034157371233390302,0.0030892434461987045
183,279.07084022165816,2.9667945767480464,288.6417863925493,4.421093118135339,284.22039142580525,3.7146056765048097,0.004211948857952582,0.0038499169112589213
184,279.2278428886095,2.761470248167996,288.2982056263917,4.81450107037486,284.0038520381843,3.7685086420451377,0.004981739199260329,0.0052102878606321915
185,278.81586383191603,2.5939041986757347,288.5929329986948,4.750879530000834,284.0653565802796,3.7924923815188,0.003971052372753351,0.004465333932314296
186,279.08764101070614,2.822641325340811,288.6575304635912,4.802296490702505,284.0352419541568,3.693759838627642,0.004246080571137383,0.0035359172177722577
187,278.60830028637037,2.928862830671081,288.2699933626142,4.027109590663626,283.62228303576575,3.195699256562645,0.004288777115646107,0.004382098113991526
188,278.5080963059784,2.289892121037958,288.4469528760605,3.765360524529016,283.87024683097064,2.903217956569604,0.0037079649409561973,0.004264875373728336
189,279.0834235114021,2.2259293470416863,288.99133945624425,4.24487616463251,284.32638752255446,3.3088805970898276,0.004326165316439043,0.0047202257221326555
190,279.2909680115796,2.545517011083444,289.0165022116621,4.800444792648331,284.6407751134924,3.759623365580134,0.0030188544812195916,0.003121668947310106
191,279.9525841565332,2.766135848288817,290.30417447476776,4.586875778046542,285.496862463049,3.6280183911844466,0.003270051187694377,0.003703558715384562
192,279.7585844372649,2.49614286013161,289.749914070898,4.400128477880064,285.1189274518437,3.5510996718486676,0.0034815293662069048,0.0038331967495961526
193,280.00064139401303,2.877632046406205,290.1182041027622,4.691195154269338,285.3641911537114,3.8042013981949436,0.004111571121432801,0.005170284393742513
194,279.9008841549735,2.551948701037225,290.52596880938563,4.715126999863653,285.51458237856554,3.632791760811736,0.003389652372248619,0.003158892624723576
195,279.4799714709382,2.4608488896537355,289.62701093594035,4.204092676701276,284.88311242705777,3.35428133244617,0.004397598823889391,0.005317283632667625
196,279.44196426429085,2.6816302276935824,289.48812251360465,4.71812148048578,284.6820526497955,3.803760763038361,0.003627811152226021,0.0034815131772337475
197,279.12363780628544,2.6935843100834638,289.18466411468734,4.2368408757946785,284.4251896438786,3.399240847365807,0.0032338774625174653,0.003239632993012803
198,279.1817352519867,2.769269230532168,289.41469714565415,4.501126685265545,284.7024308188249,3.4782169063166863,0.0031503129349596446,0.003600640192050634
199,279.83832386963485,2.519007515160892,290.1369000559065,3.802212441924372,285.3431318503341,2.973852344321013,0.0028465239283978973,0.0035739455758692995
200,280.07374081623345,2.59620716993975,290.60143143187577,3.549147472424626,285.719305464911,2.8126590731357006,0.0033978659409618322,0.0037002476226572698
201,279.8518352086772,2.6096444346678074,290.43845234339005,3.592653991587589,285.5371566884934,2.965941937920649,0.0029420607812990565,0.0027546358913257936
202,279.8758365715459,2.061081605513445,290.4325146124463,3.910487154013634,285.66533861464893,3.0806881492977136,0.003436966373749992,0.003690028983819559
203,280.09643472207557,2.4490072504096814,291.2603967465113,4.1974585373412765,286.0298695857167,3.4292803578503963,0.0027047102360694877,0.002979971397750868
204,280.37936123934657,2.656311961076669,291.20183253932646,4.258572968653695,286.3038848951935,3.427814589270036,0.0023683239343263453,0.002278823553619532
205,280.3094294217646,2.4884260044310116,291.4768013169197,3.7808540979542182,286.12193324583455,2.9852091355666164,0.003603523490564302,0.0037454461503336083
206,279.9827977585851,2.6417865995322245,290.532307092915,4.447173441436073,285.69026810179764,3.4433305800405165,0.0030368966240621373,0.0035189744478435004
207,280.404209671208,2.5378612175210145,291.36716658008777,3.803442330456819,286.3471121823173,3.1207455790549377,0.0027752944575463135,0.0039255326192115
208,280.51860222593865,2.4591119619390267,291.93360777158995,4.397982298399789,286.75945647518523,3.363529836342734,0.001663942298080736,0.0017131183534955204
209,281.12583942085286,2.543167326072232,292.4257297375278,3.6716610367867824,287.1729016503186,3.0548156228526393,0.001951316184937695,0.0022002088779210513
210,280.8244051546664,2.181572963335381,292.0520072018486,4.178295945654636,286.79693745980984,3.250719674034233,0.0029629208894242963,0.0030623007376995902
211,280.2804545184612,2.986028654286513,291.831144140745,4.810902726220965,286.44011408925354,3.853147339125437,0.002107101131486418,0.002608364842808229
212,280.455986229149,2.4471674594595454,291.81414659954703,4.05224000116487,286.53017063750093,3.3308162321991883,0.0025147492351157356,0.003484954742783654
213,280.3836940606045,2.839709751040769,291.6490549748301,4.448704650634727,286.4547292348501,3.5650022436443813,0.0025896867312765292,0.003432041061200817
214,279.80041398931775,2.313246752375403,291.0818848855959,4.107011227897252,285.7528716516143,3.2276631880572197,0.003587065482680427,0.005455535409471582
215,279.86978021945055,2.541108920325469,291.1390794008897,4.648041811721325,285.9609993599556,3.5652110998281077,0.002073568089374643,0.0023760522135593564
